epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1626.28,0.84175,1.68579,1.02991,0.74321,0.34559,0.53875,0.41557,0.93751,3.00803,1.52382,5.48088e-05,5.48088e-05,5.48088e-05
58,1654.62,0.86059,1.66995,1.04524,0.73856,0.37401,0.60267,0.44732,1.03909,2.78679,1.61974,5.35911e-05,5.35911e-05,5.35911e-05
59,1683.09,0.84988,1.70143,1.05136,0.7151,0.41458,0.57861,0.44676,0.92829,2.74151,1.49669,5.23734e-05,5.23734e-05,5.23734e-05
60,1713.07,0.85855,1.65577,1.03953,0.75556,0.40307,0.61069,0.47563,0.92986,2.71828,1.52011,5.11557e-05,5.11557e-05,5.11557e-05
61,1742.79,0.84509,1.64609,1.03294,0.77021,0.32638,0.56447,0.43543,0.94563,2.85126,1.53846,4.9938e-05,4.9938e-05,4.9938e-05
62,1769.31,0.81762,1.60695,1.02118,0.76886,0.42226,0.60255,0.47462,0.95112,2.75802,1.56216,4.87203e-05,4.87203e-05,4.87203e-05
63,1798.75,0.83876,1.58511,1.02216,0.71321,0.43877,0.61456,0.47894,0.92649,2.67113,1.54429,4.75026e-05,4.75026e-05,4.75026e-05
64,1828.3,0.8353,1.55607,1.02455,0.73101,0.55155,0.62793,0.48616,0.9518,2.57766,1.53844,4.62849e-05,4.62849e-05,4.62849e-05
65,1855.18,0.83779,1.54496,1.02795,0.74585,0.46443,0.63437,0.49468,0.92735,2.79598,1.51879,4.50672e-05,4.50672e-05,4.50672e-05
66,1884.69,0.83928,1.55632,1.03407,0.73092,0.45029,0.59427,0.45887,0.944,2.84053,1.53292,4.38495e-05,4.38495e-05,4.38495e-05
67,1914.49,0.83821,1.50286,1.02797,0.73091,0.47103,0.62878,0.49036,0.93362,2.63218,1.52909,4.26318e-05,4.26318e-05,4.26318e-05
68,1941.84,0.82167,1.52877,1.02144,0.74922,0.5122,0.66213,0.50864,0.94008,2.48116,1.58016,4.14141e-05,4.14141e-05,4.14141e-05
69,1970.64,0.83294,1.54585,1.02846,0.75536,0.43117,0.64442,0.49879,0.94878,2.7334,1.55483,4.01964e-05,4.01964e-05,4.01964e-05
70,2000.64,0.81596,1.49722,1.01651,0.69116,0.40691,0.62912,0.48963,0.92833,2.81244,1.53694,3.89787e-05,3.89787e-05,3.89787e-05
71,2028.08,0.81883,1.4993,1.03128,0.72245,0.41585,0.60722,0.4715,0.94029,2.84504,1.55025,3.7761e-05,3.7761e-05,3.7761e-05
72,2056.06,0.80569,1.4541,1.01333,0.75985,0.40412,0.63688,0.49498,0.92918,2.84383,1.54146,3.65433e-05,3.65433e-05,3.65433e-05
73,2085.33,0.80248,1.45773,1.00468,0.80493,0.37899,0.6488,0.50079,0.94904,2.77757,1.56035,3.53256e-05,3.53256e-05,3.53256e-05
74,2114.54,0.8012,1.41905,1.01105,0.73961,0.39476,0.63475,0.49607,0.93831,2.79927,1.55311,3.41079e-05,3.41079e-05,3.41079e-05
75,2141.06,0.80332,1.44263,0.99842,0.79742,0.41376,0.64752,0.50472,0.951,2.82273,1.55275,3.28902e-05,3.28902e-05,3.28902e-05
76,2170.05,0.79102,1.41296,1.01001,0.70863,0.5241,0.66581,0.52759,0.9215,2.61137,1.53702,3.16725e-05,3.16725e-05,3.16725e-05
77,2200.38,0.79354,1.41261,1.00957,0.73558,0.44328,0.65192,0.50267,0.95146,2.6778,1.5586,3.04548e-05,3.04548e-05,3.04548e-05
78,2227.07,0.78731,1.38779,1.00997,0.77967,0.46093,0.66937,0.51575,0.94149,2.72106,1.56992,2.92371e-05,2.92371e-05,2.92371e-05
79,2256.6,0.7954,1.41417,1.01667,0.76628,0.44872,0.67278,0.53085,0.92663,2.76885,1.54587,2.80194e-05,2.80194e-05,2.80194e-05
80,2286.2,0.78459,1.36379,1.00325,0.77614,0.48538,0.68987,0.53363,0.93588,2.7066,1.55565,2.68017e-05,2.68017e-05,2.68017e-05
81,2312.72,0.8066,1.4029,1.00775,0.72657,0.46806,0.65754,0.51753,0.93382,2.72767,1.53854,2.5584e-05,2.5584e-05,2.5584e-05
82,2341.61,0.78001,1.39214,1.00224,0.79358,0.4667,0.67103,0.52059,0.93987,2.73482,1.55146,2.43663e-05,2.43663e-05,2.43663e-05
83,2371.31,0.79392,1.35414,1.00409,0.78927,0.51877,0.68246,0.53305,0.92829,2.67629,1.5486,2.31486e-05,2.31486e-05,2.31486e-05
84,2398.19,0.77732,1.34186,0.99903,0.77827,0.50696,0.69233,0.54127,0.93592,2.70798,1.54803,2.19309e-05,2.19309e-05,2.19309e-05
85,2426.72,0.77601,1.35236,1.00845,0.77782,0.49873,0.68453,0.52589,0.97128,2.78927,1.60255,2.07132e-05,2.07132e-05,2.07132e-05
86,2456.55,0.76951,1.34021,1.00659,0.77059,0.47293,0.67549,0.51867,0.96217,2.81449,1.58558,1.94955e-05,1.94955e-05,1.94955e-05
87,2484.04,0.75413,1.30818,0.99435,0.7785,0.47585,0.68708,0.54115,0.90885,2.76997,1.5247,1.82778e-05,1.82778e-05,1.82778e-05
88,2512.6,0.77454,1.33671,1.0079,0.7771,0.49673,0.69862,0.54537,0.91459,2.72688,1.52853,1.70601e-05,1.70601e-05,1.70601e-05
89,2542.38,0.75944,1.32533,1.00154,0.78892,0.49371,0.69277,0.54036,0.9169,2.75342,1.52334,1.58424e-05,1.58424e-05,1.58424e-05
90,2569.45,0.76632,1.32386,0.99135,0.76802,0.45172,0.65499,0.51048,0.92425,2.73355,1.54188,1.46247e-05,1.46247e-05,1.46247e-05
91,2598.2,0.66311,1.02749,0.97363,0.75883,0.52689,0.66387,0.51377,0.94008,2.66967,1.55088,1.3407e-05,1.3407e-05,1.3407e-05
92,2627.02,0.66401,1.00613,0.98067,0.73621,0.52615,0.68121,0.52654,0.93539,2.6655,1.54163,1.21893e-05,1.21893e-05,1.21893e-05
93,2653.62,0.6543,0.98349,0.97743,0.76437,0.5418,0.68331,0.52329,0.94754,2.63209,1.55181,1.09716e-05,1.09716e-05,1.09716e-05
94,2681.42,0.63934,0.96954,0.96204,0.79422,0.55881,0.71522,0.55869,0.92166,2.60694,1.53011,9.7539e-06,9.7539e-06,9.7539e-06
95,2709.96,0.6521,0.98521,0.97327,0.76655,0.54511,0.7148,0.54872,0.93292,2.5875,1.53612,8.5362e-06,8.5362e-06,8.5362e-06
96,2736.25,0.63694,0.96627,0.9594,0.79035,0.53815,0.72191,0.55516,0.92444,2.56993,1.53019,7.3185e-06,7.3185e-06,7.3185e-06
97,2764.88,0.64393,0.96998,0.96396,0.78343,0.52971,0.71426,0.55083,0.93387,2.57828,1.54202,6.1008e-06,6.1008e-06,6.1008e-06
98,2790.9,0.63566,0.96024,0.95624,0.75458,0.54008,0.70398,0.54892,0.9163,2.60782,1.52983,4.8831e-06,4.8831e-06,4.8831e-06
99,2819.98,0.63819,0.95761,0.96006,0.7497,0.54111,0.71795,0.55571,0.92741,2.56963,1.54012,3.6654e-06,3.6654e-06,3.6654e-06
100,2846.13,0.6373,0.95328,0.95841,0.77603,0.55531,0.71296,0.54899,0.92526,2.55533,1.53879,2.4477e-06,2.4477e-06,2.4477e-06
